referrer,expgender,exprace,compensation,age,sunkgroup,sunkDV,gainlossgroup,gainlossDV,exprace_baburao
1,1,6,1,18,2,9,1,1,6
1,1,6,1,19,2,9,1,2,6
1,1,6,1,18,1,3,2,2,6
1,1,6,1,18,2,6,1,1,6
1,1,6,1,18,2,9,2,2,6
1,1,6,1,18,1,9,1,1,6
1,1,6,1,18,1,9,2,1,6
1,1,6,1,19,1,7,1,1,6
1,1,6,1,21,1,9,1,2,6
1,1,6,1,21,2,9,1,2,6
1,1,6,1,18,1,3,1,1,6
1,1,6,1,18,1,4,1,2,6
1,1,6,1,18,2,9,1,2,6
1,1,6,1,18,1,9,2,,6
1,1,6,1,18,1,9,2,1,6
1,2,10,1,19,2,6,2,1,10
1,1,6,1,31,2,7,1,2,6
1,1,6,1,23,1,9,2,2,6
1,1,6,1,18,1,1,1,2,6
1,1,6,1,23,1,4,2,1,6
1,1,6,1,18,1,7,2,1,6
1,1,6,1,19,1,9,2,1,6
1,1,6,1,20,2,9,2,2,6
1,1,6,1,20,2,7,1,2,6
1,1,6,1,19,2,9,1,1,6
1,1,6,1,20,1,9,2,1,6
1,1,6,1,20,1,9,2,1,6
1,1,6,1,19,1,9,1,1,6
1,1,6,1,20,1,9,2,1,6
1,2,6,1,18,1,5,1,2,6
1,2,6,1,19,1,9,1,1,6
1,2,6,1,20,2,9,2,2,6
1,2,6,1,22,1,7,1,2,6
1,2,6,1,18,1,8,1,2,6
1,2,6,1,20,2,8,2,1,6
1,2,6,1,19,1,1,1,2,6
1,2,6,1,18,2,9,2,1,6
1,1,6,1,19,2,9,1,2,6
1,1,6,1,19,1,9,1,2,6
1,1,6,1,19,2,9,2,2,6
1,1,6,1,18,2,9,1,1,6
1,1,6,1,19,2,9,2,1,6
1,1,6,1,20,1,9,1,1,6
1,1,6,1,18,2,7,2,1,6
1,1,6,1,23,2,4,2,1,6
1,1,6,1,22,2,9,2,1,6
1,1,6,1,26,2,9,2,2,6
1,1,6,1,18,1,9,1,2,6
1,1,6,1,20,1,9,1,2,6
1,2,6,1,19,2,9,2,1,6
1,1,6,1,18,1,7,1,1,6
1,1,6,1,18,2,9,1,1,6
1,1,6,1,18,1,8,2,1,6
1,1,6,1,19,2,5,1,2,6
1,1,6,1,20,2,9,1,1,6
1,1,6,1,18,2,9,2,2,6
1,1,6,1,18,1,7,1,1,6
1,1,6,1,18,1,1,2,1,6
1,1,6,1,18,1,9,1,1,6
1,1,6,1,25,2,9,2,1,6
1,1,6,1,21,2,9,1,1,6
1,1,6,1,18,1,9,1,1,6
1,1,6,1,20,2,9,2,2,6
1,1,6,1,18,1,1,2,1,6
1,1,6,1,19,1,1,2,1,6
1,1,6,1,19,1,9,2,1,6
1,1,6,1,20,1,9,2,2,6
1,1,6,1,20,1,9,1,2,6
1,1,6,1,24,1,6,2,1,6
1,1,6,1,18,1,9,1,1,6
1,1,6,1,18,1,1,2,1,6
1,1,6,1,18,2,9,2,1,6
1,1,6,1,18,2,9,2,2,6
1,1,6,1,18,2,9,1,2,6
1,1,6,1,18,1,9,1,1,6
1,1,6,1,22,2,9,2,1,6
1,1,6,1,19,1,9,1,1,6
1,1,6,1,22,2,7,1,2,6
1,1,6,1,20,1,9,2,1,6
1,1,6,1,23,1,5,1,2,6
1,1,6,1,19,2,7,1,2,6
1,1,6,1,26,1,9,1,2,6
1,1,6,1,18,1,6,2,1,6
1,1,6,1,19,1,9,1,2,6
2,1,9,5,20,2,9,2,1,9
2,1,9,5,19,2,9,1,2,9
2,1,9,5,22,2,8,1,2,9
2,1,9,5,21,1,9,1,2,9
2,1,9,5,19,2,9,2,1,9
2,1,9,5,24,2,8,2,1,9
2,1,9,5,19,2,1,1,2,9
2,1,9,5,24,2,9,1,1,9
2,1,9,5,18,2,7,1,2,9
2,1,9,5,19,2,9,2,1,9
2,1,9,5,20,2,6,1,1,9
2,1,9,5,21,2,8,2,1,9
2,1,9,5,20,1,8,1,1,9
2,1,9,5,18,1,1,2,1,9
2,1,9,5,19,2,7,1,1,9
2,1,9,,20,1,9,1,2,9
2,1,9,5,18,1,9,1,1,9
2,1,9,5,19,1,9,2,2,9
2,1,9,5,17,2,9,1,1,9
2,1,9,5,17,1,5,1,2,9
2,1,9,5,23,1,9,2,,9
2,1,9,5,20,1,9,1,1,9
2,1,9,5,20,2,9,1,1,9
